Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
149,"Cam An Bac Nha may dien mat troi xa Cam An Bac",Solar,Planned,35,2019,Vietnam,"Cam Lam Solar Cty CP Cam Lam Solar",,,," ",Vietnam,"Khanh Hoa","Cam Lam",,
150,"Cam An Bac Nha may dien mat troi xa Cam An Bac",Solar,Planned,50,2019,Vietnam,"Cam Lam Solar Cty CP Cam Lam Solar",,,," ",Vietnam,"Khanh Hoa","Cam Lam",,
151,"Cam Hoa Đien mat troi Cam Hoa",Solar,Operational,50,2019,Vietnam,"Cong ty CP Tap doan Hoanh Son Ha Tinh",,,"Germany; Spain","Equipment: Cong ty Eab New Energy Germany cung cap thiet bi va Cong ty TNHH Tu van dien Solakey Spain",Vietnam,"Ha Tinh","Cam Xuyen",,
152,"Cam Hung Đien mat troi Cam Hung",Solar,Planned,29,2020,,,,,," ",Vietnam,"Ha Tinh","Cam Xuyen",,
153,"Cam Lam Solar Nha may dien mat troi Cam Lam",Solar,Planned,50,2019,Vietnam,"Cam Lam Solar Cty CP Cam Lam Solar",,,," ",Vietnam,"Khanh Hoa","Cam Lam",,
154,"Cam Pha Phase 1-2 Nhiet dien Cam Pha Giai doan I-II",Coal,Operational,680,2011,Vietnam,"Vinacomin and Cam Pha Thermal-power Joint-Stock Company",China,"China Exim Bank",China,"The Haerbin Power Project Co Ltd.",Vietnam,"Quang Ninh","Cam Pha",,
155,"Cam Pha Phase 3-4 Nhiet dien Cam Pha Giai doan III",Coal,Cancelled,440,2020,Vietnam,"Vinacomin and Cam Pha Thermal-power Joint-Stock Company",China,"China Exim Bank",China,"Haerbin Power Project Co Ltd  China",Vietnam,"Quang Ninh","Cam Pha",,
156,"Cam Son",Hydro,Operational,4.5,1973,Vietnam,"Cam Son Hydro Power JSC",,,," ",Vietnam,"Lang Son","Huu Lung",,
157,"Can Don",Hydro,Operational,76,2004,Vietnam,"Song Da Group"," EVN",,,," ",Vietnam,"Binh Phuoc",,
158,"Can Tho",Oil,Operational,185,,Vietnam,"Vietnam Electricity ",,,," ",Vietnam,"Can Tho","Binh Thuy",,
159,"Cao Ngan Thermal Power plant Nhiet dien Cao Ngan",Coal,Operational,115,2007,Vietnam,"EVN Vietnam",China,"China Exim China",," ",Vietnam,"Thai Nguyen","Thai Nguyen",,
160,"Cargill Siam Borabu",Waste,Unknown,2.728,,Thailand,"Cargill Siam Ltd.",,,," ",Thailand,"Maha Sarakham",Borabu,,
161,"Cassava Waste to Energy Project",Biomass,Unknown,0.22,2009,"Thailand; Japan","Cassava Waste to Energy Co"," Ltd."," Toyota Tsusho Corporation"," Tokyo Electric Power Co Inc.",,,," ",,
162,"Cat Hiep Đien mat troi Cat Hiep",Solar,Operational,49.5,2018,"France; Vietnam","Quadran International France Cong ty CP nang luong va cong nghe cao Binh Đinh Vietnam",,,Germany,"Juwi Renewable Energies Germany",Vietnam,"Binh Đinh","Phu Cat",,
163,"Chachoengsao Solar Power Plant",Solar,Operational,1.3,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,Chachoengsao,,
164,"Chaimongkol Refined Sugar Co"," Ltd.",Biomass,Unknown,7,,,,,,," ",Thailand,"Buri Ram",,
165,"Chaiyaphum Wind Farm",Wind,Operational,80,2015,Thailand,"EGAT Thailand",,,," ",Thailand,Chaiyaphum,"Bamnet Narong",,
166,Chana,Gas,Operational,1476,2014,Thailand,"EGAT Thailand",,,," ",Thailand,Songkhla,Chana,,
167,"Chang Raek Biomass Power Plant",Biomass,Unknown,9.5,2013,"Thailand; Germany","Chang Raek Biopower Co"," Ltd. TPC Power Holding PLC is holding company"," EnBW Kraftwerke AG is shareholder",,,," ",Thailand,,
168,"Chantaburi Starch Wastewater Treatment",Waste,Unknown,1.9,,Thailand,"Chantaburi Starch Power Co"," Ltd.",,,Switzerland,"South Pole Carbon Asset Management Ltd.",Thailand,Chanthaburi,,
169,"Chao Khun Agro Biogas Energy Project",Waste,Unknown,,,Thailand,"Thai Biogas Energy Co Ltd.",,,"United Kingdom","EcoSecurities Group plc.",Thailand,Saraburi,"Kaeng Khoi",,
170,"Chao Phraya Dam",Hydro,Operational,12,,Thailand,"EGAT Thailand",,,," ",Thailand,"Chai Nat",Sanphaya,,
171,Chaungthar,Wind,Planned,30,,China,"China Three Gorges Corporation",,,China,"China Three Gorges Corporation",Myanmar,Ayeyarwady,Bassein,,
172,"Chi Khe",Hydro,Operational,41,2020,Vietnam,"Chi Khe Hydropower JSC",,,Austria,"Andritz Austria",Vietnam,"Nghe An","Con Cuong",,
173,"Chiang Rai Power Stations",Biomass,Cancelled,1,,,,,,"Thailand; USA","CH Karnchang Thailand",,,,,
174," ASSYCE Asia Thailand",,,,,,,,,,,,,,,
175," Sonnedix USA",Thailand,"Chiang Rai","Wiang Chai",,,,,,,,,,,,
176,"Chiang Rai Solar Park",Solar,Operational,9,2012,Thailand,"Chiang Rai Solar Company"," Ltd.",,,"Thailand; Italy","Ch. Karnchang Thailand"," Sonnedix Italy"," Assyce Fotovoltaica Thailand",,
177,"Chiem Hoa",Hydro,Operational,48,2017,Vietnam,"EVN Vietnam",,,," ",Vietnam,"Tuyen Quang","Chiem Hoa",,
178,"Chieng Cong 1",Hydro,Operational,4,,Vietnam,"Lam Son Construction & Trading Co Ltd",,,," ",Vietnam,"Son La","Muong La",,
179,"Chieng Cong 2",Hydro,Operational,8,,Vietnam,"Lam Son Construction & Trading Co Ltd",,,," ",Vietnam,"Son La","Muong La",,
180,Chipwi,Hydro,Postponed,3400,,China,"State Power Investment Corporation China",,,China,"China Power Investment Corporation CPI China",Myanmar,Kachin,Myitkyina,,
181,"Chipwi Nge",Hydro,Operational,99,2013,China,"State Power Investment Corporation",,,"China; Myanmar","Upstream Ayeyawady Confluence Basin Hydropower Co"," Ltd ACHC",Myanmar,Kachin,,
182,"Chok Chai Power Station",Biomass,Operational,9.9,2013,Thailand,"Advance Agro Power Plant Co"," Ltd.",,,," ",Thailand,"Nakhon Ratchasima",,
183,"Chokhchai Green Power Project",Biomass,Unknown,36,,"Thailand; Denmark","CCGP Chokchai Greenpower"," DP Cleantech",,,," ",Thailand,"Nakhon Ratchasima",,
184,"Chongdan Solar Power Plant",Solar,Operational,8,,Australia,"SSE-PV1 Project Thailand",,,," ",Thailand,Kanchanaburi,"Bo Phloi",,
185,"Chulabhorn Dam",Hydro,Operational,40,1972,Thailand,"EGAT Thailand",,,China,"Power Construction Corporation of China China",Thailand,Chaiyaphum,"Khon San",,
186,"Chulabhorn Downstream Hydropower Project",Hydro,"Under Construction",1.25,2018,Thailand,"EGAT Thailand",,,," ",Thailand,Chaiyaphum,"Khon San",,
187,"Chumphon power stations",Biomass,Operational,,,,,,,," ",Thailand,Chumphon,Sawi,,
188,"Chumphon Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited TSE",,,," ",Thailand,Chumphon,"Muang Chumphon",,
189,"Chumporn applied biogas technology for advanced waste water management",Waste,Unknown,,,Thailand,"Chumporn Palm Oil Public Co Ltd.",,,Germany,"Deutsche Gesellschaft fur Internationale Zusammenarbeit",Thailand,Chumphon,Pathiu,,
190,"Clean Energy One Biomass Power Plant Project",Biomass,Unknown,9.4,,"Thailand; Switzerland","Clean Energy Thapsakae Ltd.; Swiss Carbon Assets Ltd.",,,," ",Thailand,"Prachuap Khiri Khan","Thap Sakae",,
191,"CMX Renewable Energy Vietnam Nha may dien mat troi CMX",Solar,Operational,168,2019,"Singapore; Canada",Sunseap," InfraCo Asia"," CMX Renewable Energy Canada",,,," ",Vietnam,,
192,"Coc Ly",Hydro,Operational,90,2012,Vietnam,"Bac Ha Hydropower Company",,,," ",Vietnam,"Lai Chau","Nam Nhun",,
193,"Coc San",Hydro,Operational,30,2016,Vietnam,"Colben Energy JSC.",,,," ",Vietnam,"Lao Cai","Sa Pa",,
194,"Colben Energy Phnom Penh",Oil,Operational,20,2006,Singapore,"Asiatic Group Holdings Ltd.",,,,,Cambodia,"Phnom Penh","Ruessei Kaev",,
195,"Conergy Suphanburi Solar Plant",Solar,Operational,11,2014,Germany,"Conergy Group Germany",,,," ",Thailand,Kanchanaburi,"Bo Phloi",,
196,"Cong Hai nha may dien gio Cong Hai 1",Wind,Unknown,25,,Vietnam,"Cong ty Cong nghiep Sai Gon"," Tong Cong ty Phat dien 2 va Cong ty CP Kinh doanh dien luc TPHCM Vietnam",,,," ",Vietnam,"Ninh Thuan",,
197,"Cong Ly Soc Trang 1 Đien gio Cong Ly Soc Trang",Wind,"Under Construction",30,2019,Vietnam,"Cong ty co phan Super Wind Energy Cong Ly Soc Trang Vietnam",,,," ",Vietnam,"Soc Trang","Vinh Chau",,
198,"Cong Ly Soc Trang 2 Đien gio Cong Ly Soc Trang",Wind,"Under Construction",30,2019,Vietnam,"Cong ty co phan Super Wind Energy Cong Ly Soc Trang Vietnam",,,," ",Vietnam,"Soc Trang","Vinh Chau",,
199,"Cong Ly Soc Trang 3 Đien gio Cong Ly Soc Trang",Wind,"Under Construction",38,2019,Vietnam,"Cong ty co phan Super Wind Energy Cong Ly Soc Trang Vietnam",,,," ",Vietnam,"Soc Trang","Vinh Chau",,
200,"Cong thanh Power Station Nhiet dien Cong Thanh",Coal,Planned,600,2024,Vietnam,"Cong Thanh Group Vietnam",Vietnam,"Commercial Bank of Vietnam & Bank for Foreign Trade Vietnam",," ",Vietnam,"Thanh Hoa","Tinh Gia",,
201,"Cu Jut Solar Plant Nha may dien mat troi Cu Jut",Solar,Operational,50,2019,Vietnam,"CTCP Thuy Đien Mien Trung",,,," ",Vietnam,"Đak Nong","Cu Jut",,
202,"Cua Dat",Hydro,Operational,97,2010,Vietnam,"Thac Mo Hydropower JSC Vietnam; Vinaconex P&C JSC",,,," ",Vietnam,"Thanh Hoa","Thuong Xuan",,
203,CUP-1,Gas,Operational,226,2006,Thailand,"GPSC Global Power Synergy Corp",,,," ",Thailand,Rayong,"Muang Rayong",,
204,CUP-2,Gas,Operational,113,2008,Thailand,"GPSC Global Power Synergy Corp",,,," ",Thailand,Rayong,"Muang Rayong",,
205,"CYY Biopower Wastewater treatment plant",Waste,Unknown,2.72,,Thailand,"CYY Biopower Co Ltd.",,,"Switzerland; Austria","South Pole Carbon Asset Management Ltd Switzerland' Kommunalkredit Public Consulting GmbH Austria",Thailand,"Nakhon Ratchasima","Kham Thala So",,
206,"Da Dang 2",Hydro,Operational,34,2010,Vietnam,"Southern Hydropower JSC Vietnam",,,," ",Vietnam,"Lam Đong","Lam Ha",,
207,"Da Kai",Hydro,Operational,6,,Vietnam,"Nghia Gia Development Company Limited",,,," ",Vietnam,"Lam Đong","Lac Duong",,
208,"Da Mi 1 Nha may dien mat troi noi ho Đa Mi",Solar,Operational,47.5,2020,Vietnam,"DHD Cong ty Co phan Thuy dien Đa Nhim - Ham Thuan - Đa Mi EVN - Phat Đien 1 subsidiary",,,," ",Vietnam,"Binh Thuan","Tanh Linh",,
209,"Da Nhim Thuong 2",Hydro,Operational,7.5,2010,Vietnam,"Thai Bao Production Trading Services and Investment Consultancy JSC.",,,," ",Vietnam,"Lam Đong","Lac Duong",,
210,"Dac Me",Hydro,Operational,5,2011,Vietnam,"Dak Me Hydro Power JSC.",,,," ",Vietnam,"Lam Đong","Đam Rong",,
211,Dachaoshan,Hydro,Operational,1250,2003,China,"Yunnan Dachaoshan Hydropower Company Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,Lincang,,
212,Dachunhe,Hydro,Operational,30,2011,China,,China,,China," ",China,Yunnan,Yuxi,,
213,"Dachunhe 2",Hydro,Operational,20,2012,China,,China,,China," ",China,Yunnan,Yuxi,,
214,Dahuaqiao,Hydro,Operational,900,2018,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Nujiang Lisu",,
215,"Dai Nga",Hydro,Operational,10,2015,Vietnam,"Thac Mo Hydropower JSC.",,,," ",Vietnam,"Lam Đong","Bao Lam",,
216,"Dai Ninh",Hydro,Operational,300,2008,Vietnam,EVN,Japan,JICA,Japan,Kajima," Kumagi"," Hazama",Vietnam,,
217,"Dak Doa",Hydro,Operational,14,2010,Vietnam,"Dak Doa Hydropower JSC.",,,," ",Vietnam,"Gia Lai","Đak Đoa",,
218,"Dak Drinh",Hydro,Operational,125,2014,Vietnam,"Dak Drinh Hydropower JSC; PVN Vietnam",,,," ",Vietnam,"Quang Ngai","Son Tay",,
219,"Dak E Meule",Hydro,Operational,105,2018,,,,,," ",Laos,Xekong,Lamarm,,
220,"Dak Glun",Hydro,Operational,18,2011,Vietnam,"Sai Gon Accessories JSC",,,," ",Vietnam,"Binh Phuoc","Bu Gia Map",,
221,"Dak Lay",Hydro,Operational,3.2,2015,Vietnam,"Dak Lay Hydropower Co Ltd",,,," ",Vietnam,"Kon Tum","Tu Mo Rong",,
222,"Dak Lo",Hydro,Operational,22,2016,Vietnam,"Dak Lo- Song Da 3 JSC",,,," ",Vietnam,"Kon Tum","Kon Plong",,
223,"Dak Mi 3 Nha may thuy dien Đak Mi 3",Hydro,Operational,56,2016,Vietnam,"Vietnam Urban and Industrial Zone Development Investment Corporation IDICO","Vietnam; Switzerland","Vietnam Bank for Agriculture and Rural Development Agribank; Ecotawa AG",," ",Vietnam,"Quang Nam","Phuoc Son",,
224,"Dak Mi 4 Nha may thuy dien Đak Mi 4",Hydro,Operational,148,2012,Vietnam,"IDICO Vietnam"," Bitexco Vietnam",Vietnam,"Vietnam Bank for Agriculture and Rural Development Agribank - 56m; Bank for Investment and Development of Vietnam BIDV - 37m; PetroVietnam Finance Corp. 31m; foreign sources 50m",Vietnam,"IDICO General Construction Contractor"," PECC2 Power Engineering Consulting Company Nº2",Vietnam,,
225,"Dak Mi 4c",Hydro,Operational,18,2012,Vietnam,"IDICO Vietnam"," Bitexco Vietnam",,,," ",Vietnam,"Quang Nam",,
226,"Dak Mi-1",Hydro,Cancelled,215,,Vietnam,"Cavuci Energy Development Investment Co",,,Vietnam,"Quang Duc Kon Tum JSC",Vietnam,"Kon Tum","Đak Glei",,
227,"Dak N'teng",Hydro,Operational,13,2011,Vietnam,"Me Kong Hydro Power Limited Liability Company",,,," ",Vietnam,"Đak Nong","Đak Glong",,
228,"Dak Ne",Hydro,Operational,8.1,2010,Vietnam,"Tan Phat JSC.",,,," ",Vietnam,"Kon Tum","Kon Ray",,
229,"Dak Nong 2",Hydro,Operational,16,2016,Vietnam,"Viet Nguyen Construction JSC.",,,," ",Vietnam,"Đak Nong","Gia Nghia",,
230,"Dak Pia",Hydro,Operational,2.2,2012,Vietnam,"Trung Viet Co Ltd.",,,," ",Vietnam,"Kon Tum","Kon Ray",,
231,"Dak Po Ne",Hydro,Operational,15.6,2009,Vietnam,"PC 3 Investment JSC.",,,," ",Vietnam,"Kon Tum","Kon Plong",,
232,"Dak Po ne 2",Hydro,Operational,3.6,2008,Vietnam,"Gia Nghi Co Ltd",,,," ",Vietnam,"Kon Tum","Kon Ray",,
233,"Dak Psi 3",Hydro,Operational,15,2012,Vietnam,"Dak Psi Hydro Power Investment and Development JSC",,,," ",Vietnam,"Kon Tum","Đak Ha",,
234,"Dak Psi 4",Hydro,Operational,30,2010,Vietnam,"Dak Psi Hydro Power Investment and Development JSC",,,," ",Vietnam,"Kon Tum","Tu Mo Rong",,
235,"Dak R'Tih",Hydro,Operational,144,2011,Vietnam,"Construction Corporation No1 Company Limited",,,," ",Vietnam,"Đak Nong","Gia Nghia",,
236,"Dak Ro Sa",Hydro,Operational,7.5,2007,Vietnam,"Mien Trung Construction Corporation",,,," ",Vietnam,"Kon Tum","Đak To",,
237,"Dak Ro Sa 2",Hydro,Operational,2.4,2012,Vietnam,"Dak Ro Sa Hydropower JSC",,,," ",Vietnam,"Kon Tum","Đak To",,
238,"Dak Ru",Hydro,Operational,7.5,2008,Vietnam,"N&S Limited Liability Company",,,," ",Vietnam,"Đak Nong","Tuy Đuc",,
239,"Dak Rung 1",Hydro,Operational,6,2010,Vietnam,"Binh Minh Company"," Ltd.",,,," ",Vietnam,"Đak Nong",,
240,"Dak Sin 1",Hydro,Operational,28,2015,Vietnam,"VRG Dak Nong JSC. - Vietnam Rubber Group",,,," ",Vietnam,"Đak Nong","Đak R'Lap",,
241,"Dak Srong",Hydro,Operational,18,2010,Vietnam,"Dak Srong JSC.",,,," ",Vietnam,"Gia Lai","Kong Chro",,
242,"Dak Srong 2",Hydro,Operational,24,2010,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Kong Chro",,
243,"Dak Srong 3A",Hydro,Operational,10,2014,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Krong Pa",,
244,"Dak Srong 3B",Hydro,Operational,20,2012,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Krong Pa",,
245,"Dam Nai Nha may dien gio Đam Nai",Wind,Operational,40,2018,"Singapore; Vietnam","The Blue Circle Singapore"," Cong ty co phan TSV",,,Spain,"Siemens Gamesa Renewable Energy Spain Cong ty Nang luong Tai tao Siemens Gamesa",Vietnam,"Ninh Thuan",,
246,Dam'Bri,Hydro,Operational,75,2014,Vietnam,"Southern Hydropower JSC.",,,," ",Vietnam,"Lam Đong","Bao Lam",,
247,"Dapein 1 Dapeyin / Tarpain",Hydro,Operational,240,2011,"China; Myanmar",MEPE," Datang",China,"China EXIM",China,Datang," United Hydropower Developing Co Ltd",Myanmar,,
248,"Dapein 2 Dapeyin / Tarpain",Hydro,Planned,140,2022,"China; Myanmar",MoEE," United Hydropower Developing Co",China,"China EXIM",China,Datang,Myanmar,Kachin,,
249,"Dau Tieng Solar Power Plant 1 Nha may dien mat troi Dau Tieng 1",Solar,Operational,150,2019,"Vietnam; Thailand","Dau Tieng Tay Ninh Energy a JV between B Grimm Power Public CL Thailand; Xuan Cau Company Ltd  VietnamBOT",,,China,"Sinhydro Corp. Ltd. EPC"," ChinaPower HuaDong Engineering Corp. EPC; Jinkosolar supplier China",Vietnam,"Tay Ninh",,
250,"Dau Tieng Solar Power Plant 2 Nha may dien mat troi Dau Tieng 2",Solar,Operational,200,2019,"Vietnam; Thailand","Dau Tieng Tay Ninh Energy a JV between B Grimm Power Public CL Thailand; Xuan Cau Company Ltd  VietnamBOT",,,China,"Sinhydro Corp. Ltd. EPC"," ChinaPower HuaDong Engineering Corp. EPC; Jinkosolar supplier China",Vietnam,"Tay Ninh",,
251,"Dau Tieng Solar Power Plant 3 Nha may dien mat troi Dau Tieng 3",Solar,Planned,150,2020,"Vietnam; Thailand","Dau Tieng Tay Ninh Energy a JV between B Grimm Power Public CL Thailand; Xuan Cau Company Ltd  VietnamBOT",,,China,"Sinhydro Corp. Ltd. EPC"," ChinaPower HuaDong Engineering Corp. EPC; Jinkosolar supplier China",Vietnam,"Tay Ninh",,
252,Dawei,Coal,Cancelled,4000,,Thailand,"Italian-Thai Development Public Company Thailand",,,," ",Myanmar,Tanintharyi,Dawei,,
253,"Decha Bio Green Co Ltd",Biomass,Unknown,7.5,2009,"Thailand; United Kingdom","Decha Bio Green Co"," Ltd.; EDF Trading Ltd. EDFT",,,," ",Thailand,"Suphan Buri",,
254,"Deedoke Deedote",Hydro,"Under Construction",66,,"Austria; Japan; Myanmar","Andritz Hydro GmbH"," Kansai Electric Power Co"," Shwe Taung Group",,,," ",Myanmar,,
255,"Dinh Binh",Hydro,Operational,9.9,2008,Vietnam,"Dinh Binh Hydropower JSC",,,," ",Vietnam,"Binh Đinh","Vinh Thanh",,
256,"Distributed Commercial Solar Power Project",Solar,"Under Construction",100,2020,,,ADB,ADB,," ",Thailand,"Suphan Buri","Muang Suphanburi",,
257,"Dlie Ya Nha may dien gio Dlie Ya",Wind,Planned,100,2020,Vietnam,"Consortium of Hung Bac Energy Investment and Thang Long Real Estate Investment Lien danh Cong ty Co phan Đau tu nang luong Hung Bac va Cong ty Co phan Đau tu Thuong mai va Kinh doanh bat dong san Thang Long Viet",,,," ",Vietnam,"Đak Lak","Krong Nang",,
258,"Dohwa Le Thuy Renewable Energy Complex Du an dien nang luong tai tao Dohwa Le Thuy",Solar,Operational,49.5,2020,"South Korea","Dohwa Green Energy Co"," Ltd.","South Korea","Dohwa Green Energy Co"," Ltd.",Vietnam,"NSN Construction & JSC",Vietnam,,
259,"Don Sahong",Hydro,Operational,260,2019,"Malaysia; Laos","Mega First 80 PCT"," Government of Laos 20 PCT",Malaysia,"ERM loan facilities totaling $85 million and an Islamic financing facility of up to $65 million; Public Investment Bank Berhad Malaysia",China,"PowerChina/Power Construction Corp China",Laos,Champasak,,
260,"Dong Hai Nha may dien gio Đong Hai 1",Wind,Operational,50,2019,Vietnam,"Cong ty Co phan Nang Luong Bac Phuong Vietnam",,,," ",Vietnam,"Bac Lieu","Đong Hai",,
261,"Dong Khon Solar Power Plant",Solar,Operational,7.6,,Thailand,"G-Power Source Co Ltd Thailand",,,," ",Thailand,"Chai Nat","Sankha Buri",,
262,"Dong Nai 2",Hydro,Operational,70,2015,Vietnam,"Trung Nam Group Vietnam",,,," ",Vietnam,"Lam Đong","Lam Ha",,
263,"Dong Nai 3",Hydro,Operational,180,2011,Vietnam,EVN,,,Vietnam,"Construction Corp No 1",Vietnam,"Lam Đong","Bao Lam",,
264,"Dong Nai 4",Hydro,Operational,340,2013,Vietnam,EVN,Japan,JICA,Vietnam,Lilama," Cavico",Vietnam,"Lam Đong",,
265,"Dong Nai 5",Hydro,Operational,140,2015,Vietnam,"Vinacomin Vietnam",,,Vietnam,"Vinacomin’s Power Holding Corporation Vietnam",Vietnam,"Đak Nong","Đak R'Lap",,
266,"Dong Nai 5",Hydro,Operational,150,2015,Vietnam,"Vietnam National Coal-Mineral Industries Group",,,," ",Vietnam,"Đak Nong","Đak R'Lap",,
267,"Dong Phu Yen",Hydro,Planned,1200,2030,Vietnam,"Xuan Thanh Group",,,"Vietnam; Japan",EVN," JICA"," Xuan Thien Ninh Binh Co"," Ltd.",,
268,"Double A Ethanol wastewater treatment plant",Waste,Unknown,,2014,Thailand,,ADB,"ADB Asian Development Bank as Trustee of the Future Carbon Fund",Sweden,"Swedish Energy Agency",Thailand,"Prachin Buri","Sri Mahar Pho",,
269,"Dray H'Linh 1",Hydro,Operational,12,1990,Vietnam,,,,," ",Vietnam,"Đak Lak","Buon Ma Thuot",,
270,"Dray H'Linh 2",Hydro,Operational,16,2007,Vietnam,"Dien Luc 3 Hydro Power JSC.",,,," ",Vietnam,"Đak Nong","Cu Jut",,
271,"Duc An Nha may dien mat troi Đuc An",Solar,Planned,30,2020,Vietnam,"So Ke hoach va Đau tu tinh Đak Nong",,,," ",Vietnam,"Đak Nong","Đak Song",,
272,"Duc Giang - Lao Cai Chemical Power Station Nhiet dien hoa chat Đuc Giang - Lao Cai",Coal,"Under Construction",100,2021,Vietnam,"Duc Giang - Lao Cai Chemicals Joint Stock Company Vietnam",Vietnam,Vietcombank,," ",Vietnam,"Lao Cai","Bao Thang",,
273,"Duc Hue 1 Đien mat troi TTC Đuc Hue 1",Solar,Operational,49,2019,"Vietnam; Japan; Thailand","Consortium: 1 TTC Vietnam"," 2 Sharp Energy Solutions Japan"," 3 Sharp Solar Solutions Thailand",,,Vietnam,"Hawee Industrial Construction Joint Stock Company Hawee Group IDC",Vietnam,,
274,"Duc Hue 2 Đien mat troi TTC Đuc Hue 2",Solar,"Under Construction",49,2019,Vietnam,"Gia Lai Hydropower Vietnam"," TTC Duc Hue Long An Joint Stock Company Vietnam",,,Japan,"Sharp Energy Solutions SESJ",Vietnam,"Long An",,
275,"Duc Xuyen nha may Đien gio Đuc Xuyen",Wind,"Under Construction",,2020,Vietnam,,,,," ",Vietnam,"Đak Nong","Krong No",,
276,"Dung Quat BOT 2 Nha may dien BOT Dung Quat II TTĐL Dung Quat",Gas,Planned,750,2024,Singapore,"Sembcorp Utilities Singapore",,,," ",Vietnam,"Quang Ngai","Binh Son",,
277,"Dung Quat TTĐL 1 Trung tam khi dien mien Trung - dia diem Trung tam Đien luc TTĐL Dung Quat",Gas,Planned,750,2023,Vietnam,EVN,Japan,"J-Power Japan",," ",Vietnam,"Quang Ngai","Binh Son",,
278,"Dung Quat TTĐL 3 Trung tam khi dien mien Trung - dia diem Trung tam Đien luc TTĐL -- Dung Quat Nha may dien tuabin khi hon hop Dung Quat III mien Trung III",Gas,Planned,750,2026,Vietnam,"Sembcorp Utilities Vietnam"," EVN",,,," ",Vietnam,"Quang Ngai",,
279,"Duyen Hai 1 Nha may Nhiet dien Duyen Hai 1",Coal,Operational,1245,2015,Vietnam,EVN,Vietnam,VietinBank," BIDV"," Vietcombank",China,"Dongfeng Group",Vietnam,,
280,"Duyen Hai 2 Nha may Nhiet dien Duyen Hai 2",Coal,"Under Construction",1200,2022,Malaysia,"MMC Corporation Berhad",China,"China Exim Bank"," Industrial and Commercial Bank of China","China; Malaysia; USA","Huadian Engineering"," Janakuasa"," Alstom",,
281,"Duyen Hai 3 Nha may Nhiet dien Duyen Hai 3",Coal,Operational,1245,2016,Vietnam,"Vietnam Electricity EVN",Vietnam,VietinBank," BIDV"," Vietcombank",China,"Chengda Engineering"," Dongfang Electric Corporation",,
282,"Duyen Hai 3 Extension Nha may Nhiet dien Duyen Hai 3 mo rong",Coal,Operational,660,2020,Vietnam,EVN,"Japan; Vietnam",JBIC," NEXI Nippon Export and Investment Insurance"," Sumitomo Mitsui Trust Holdings"," Sumitomo Mitsui Banking Corporation"," Funma Bank"," Joyo Bank","Duyen Hai Thi xa",
